Проект,NPV бюджета,PI,E(NPV) сценарии,Коэф. вариации V,Poss(NPV≥0),M(NPV) Чиу-Парк,V/M,Класс риска
А,137002.81,6.72,90594.0,0.0427,1.0,89551.25,0.0306,низкий
Б,37231.85,10.53,36717.61,0.1394,1.0,37694.47,0.1357,низкий
В,107223.79,77.12,105865.88,0.1276,1.0,106218.02,0.1167,низкий
Г,20449.36,3.64,20097.06,0.1744,1.0,22030.78,0.1878,средний
Д,6446.0,2.91,6323.26,0.1931,1.0,7166.57,0.213,средний
